    Z                     p0                     p1                     p2                     p3                     p4                     p5                     p6                     p7                     p8                     p9
0.001      0.000012408119537      7.470629105660065    -42.292025704415778    136.093479895225812     73.432848672413371  -1818.336031924569852   5558.674204110714527  -8079.466106727073566   5876.686733023415400  -1711.791562533334172
0.002      0.010693726465861      7.445930336016372    -41.207383524020834    136.635003473743723     43.400504334756626  -1781.623759245704832   5847.938574585856259  -9090.080538545300442   7111.413759893433053  -2248.618309281377606
0.003      0.020915355565180      7.392397779039269    -40.711664763684134    137.694063621811438     33.216649729849344  -1775.790839722523515   5889.095093023804111  -9160.108226836560789   7140.116438873346851  -2244.774337952183032
0.004      0.026929885731658      7.380341976462296    -39.947308682572519    136.206335132998731     19.160408349695214  -1717.468274001956615   5837.068516632349201  -9245.534245205963089   7324.520493995432844  -2337.940206338142161
0.005      0.036073883105485      7.400088477002177    -40.273459370679788    135.568634232749986     35.267100726788591  -1741.788191603972564   5668.432107480413833  -8606.639388345438419   6519.414254341351807  -1985.703521216328454
0.006      0.039960343285625      7.395487826451297    -39.655287424535274    132.171206956132124     36.236351859378608  -1686.576648426959991   5421.665907439713919  -8111.708184459148470   6037.145106878305342  -1801.719033140965621
0.007      0.049821556174351      7.340024372294453    -39.544255146881497    132.319005301248751     38.425487110826559  -1677.704490223657558   5292.337452926117294  -7738.870722298599503   5608.204689982821037  -1624.600859277308473
0.008      0.053626254315512      7.282798123510788    -38.765886509209146    133.513289635168064     13.825831636391314  -1644.232727844770579   5469.431996361131496  -8350.158576360774532   6308.038732131196412  -1904.828726900811262
0.009      0.055841916059127      7.330908579349603    -38.495724556772537    128.202551228399329     27.406001540611115  -1589.362739886651980   5128.292406901778122  -7670.478462765303448   5701.220872606869307  -1698.728831921068149
0.010      0.061124389668793      7.286234727585833    -38.132843256316804    129.131228256022894     16.390353381804363  -1574.809606230744748   5177.077532193834486  -7827.784183702536211   5860.834904070537050  -1754.656036395744195
0.011      0.065845922535003      7.314211812196016    -38.226640458365956    126.787402873223769     28.362718048698568  -1558.939862830603261   4963.750451223291748  -7306.469889330793194   5329.964391957852058  -1555.019867603092734
0.012      0.070090490632272      7.250236699059058    -37.818345504340208    127.685534643593954     19.356081818575245  -1553.349071756133753   5024.188332272357911  -7462.450078613542246   5477.577674540070802  -1605.036050819580169
0.013      0.073054987899379      7.224374697355056    -37.722978464887220    128.695623372881954     16.727699048170898  -1570.414032123371726   5110.330477353501010  -7613.742582129951188   5597.049215933067899  -1640.706213157749971
0.014      0.076532921131631      7.253535001053095    -37.765799567359778    126.709734400678400     23.998728606887660  -1550.061156709115721   4951.739321270830260  -7275.509275718328354   5283.359448514975156  -1531.622011369707025
0.015      0.079101117804292      7.208962699191671    -37.471387934121665    128.094237237572713     15.121976097387375  -1562.809092234903346   5101.490161904022898  -7613.165280923373757   5602.041080682084612  -1643.082425980545850
0.016      0.079051431927862      7.246237290853032    -37.127817374712187    123.763232458227563     20.476702864126061  -1491.852451252576429   4772.232729253199068  -7010.143458514197846   5086.821172689538798  -1473.105095872325819
0.017      0.082014397082396      7.235559812654874    -36.965613828788698    123.420214232494658     17.877323013947660  -1480.905657309592016   4765.018495468735637  -7032.929363863701838   5126.058380043536090  -1490.658287052438254
0.018      0.084442572949921      7.215824870288033    -36.542455707503549    121.951525457051460     14.244381153531451  -1444.478829431248414   4655.838223669538820  -6862.433333845609923   4987.465363675041772  -1444.730058554147263
0.019      0.087607306800315      7.261703018488052    -36.577238637694336    117.149096427434017     34.041721040269600  -1405.947045711135388   4282.911141843970654  -6025.173562994353233   4186.339691178057365  -1159.489816802615223
0.020      0.087469596795585      7.238176468848780    -36.065502234034007    116.687838541954548     25.320232541629007  -1393.914975198518732   4364.472095326662384  -6294.334220241293224   4485.287791167239448  -1275.176111893094003
0.021      0.091215262234257      7.219898827408425    -35.665295676647673    115.129828893887407     21.947533873121586  -1359.639635442117424   4275.483354594161028  -6183.531690027168224   4417.226625606480411  -1258.681721507837665
0.022      0.095477703130823      7.198070185722874    -35.378978902236497    112.592050136336510     23.889755366955416  -1297.678594536210085   3984.434421921979720  -5626.962719360433766   3921.574768546123778  -1089.112451164544837
0.023      0.093007695455586      7.254257843750572    -34.912775098240608    108.166776607797885     27.202581785565240  -1246.892222645562924   3805.016742840955885  -5369.944843142792706   3749.564922342803129  -1045.005467192403330
0.024      0.096158537482191      7.211806279770244    -34.788930473704731    109.611992970787327     22.025754951918461  -1264.720158750834116   3924.751247608308859  -5609.745950471425203   3962.145952734425464  -1116.429821172865559
0.025      0.095199428489786      7.252458085022405    -34.270972830062149    104.923227020917977     22.966908851318035  -1183.151567244777198   3628.330280137842237  -5146.470289200843581   3615.321289888137926  -1014.641368450336472
0.026      0.099245236267150      7.213538318452098    -34.220764752607536    106.169407013294801     20.576137511413421  -1204.100644395766267   3726.626053513823990  -5317.208236414816383   3751.357762890028880  -1056.239982057279121
0.027      0.098880543129575      7.220492970731725    -33.742690683784552    103.279483408980440     18.343801728550179  -1145.371026093954470   3536.841667448185035  -5038.555217475439349   3552.861495442614341  -1000.691677130645417
0.028      0.101492772836662      7.197273163042039    -33.569386501267850    103.301184332744796     16.025921720701707  -1143.430725664958572   3551.522007680124261  -5075.680252675438169   3585.678814155831333  -1010.817875613216870
0.029      0.104005533636694      7.166146530378698    -33.495103206388357    105.164763037530406      9.609959641692488  -1165.898618155892564   3702.015155819733991  -5375.735357732975899   3849.176572694536389  -1098.138025016106212
0.030      0.106897931772148      7.175824379743967    -33.074718379657767    100.032371344847675     15.073818382328353  -1068.661259107504748   3266.728865863558894  -4598.379550556330287   3202.312740372619373   -890.577564452765387
0.031      0.108829140320465      7.160150323072475    -33.166354532075928    101.717997614659097     14.007201370539144  -1105.713206359537025   3416.858325517811863  -4847.442436887648910   3395.794882527181471   -948.682711296925618
0.032      0.109061130486306      7.193685839536428    -32.901017977244301     98.642578812300059     17.714271488511251  -1069.189692717472326   3264.853303197515743  -4600.046331833900695   3207.247147068705544   -892.876898139287277
0.033      0.113019267750825      7.186073148656442    -32.809356554423275     97.821783405541709     18.301442837681385  -1057.106014399101014   3219.750084504354163  -4531.272394856248866   3157.829066237082316   -879.047399814784853
0.034      0.112750065201444      7.201457000794954    -32.678720598996904     96.059443379805472     21.765725468952692  -1039.567722264732765   3129.131285645018579  -4368.496963849894200   3024.681124590668787   -837.329225984590835
0.035      0.115271527013515      7.188031869349415    -32.579427040778377     95.687787551220026     20.813987248281521  -1028.607322380169080   3097.766515366441126  -4326.761089932720097   2997.941984846774176   -830.694834123402529
0.036      0.116085446646427      7.199747867677821    -32.361987566908901     93.835110565928318     21.722923207554011  -1000.389486568231064   2991.279806767047376  -4157.010532377413256   2868.879307513944696   -792.320621428430741
0.037      0.118432981094109      7.195422802230296    -32.340775636484800     93.683466306754170     22.430160988484488   -995.517023503066980   2952.602629170568434  -4065.870425651327423   2778.070098588543715   -759.233772230543309
0.038      0.118451148462159      7.174397128800487    -32.032703291018954     93.620121046745226     16.059622423301430   -982.732752330310177   2977.080611375093213  -4169.138935182966634   2893.004154195931733   -802.217862837630264
0.039      0.118455278540597      7.168817486860604    -31.577466603985016     91.404076019393713     13.347481230048327   -938.778997813985029   2847.164351042320050  -3988.612167036771098   2769.118212210707952   -768.393431951781963
0.040      0.122781782507565      7.156333097090782    -31.773448396033633     92.378035729799691     15.063313187720572   -956.445652060096791   2886.752404602871138  -4027.578547331105256   2785.770412372002738   -770.477706757148894
