    Z                     p0                     p1                     p2                     p3                     p4                     p5                     p6                     p7                     p8                     p9
0.001      3.960822732518674     -1.109764932381352      5.435735307163828    -18.110263538940391     -5.600415132420247    228.224292296009310   -730.034482920333744   1095.464377600819034   -817.168336172608520    242.477585413433900
0.002      3.959754757483635     -1.106957421575017      5.315718466371837    -18.326161229682356     -1.232713349751718    225.081694674024988   -785.470542696031885   1278.688344947741371  -1041.246795848376223    340.774696487194262
0.003      3.958757958736114     -1.101597308195854      5.271028809891480    -18.464680290046051     -0.263823346968826    224.689909543699059   -788.276595843243740   1281.262158957692463  -1039.661360763765970    338.996006117273623
0.004      3.958270408551220     -1.101726030982800      5.189063173786194    -18.266085795382917      0.880938254056723    218.748250420552239   -774.151166083357339   1257.940344170622438  -1016.275875062845330    329.274017569298849
0.005      3.957220368140452     -1.106214285620119      5.253048797212323    -18.235241919563144     -1.508050567925744    224.285277643239141   -757.288418067286557   1177.421599174250559   -908.642971085675413    280.914576306826291
0.006      3.956881656806645     -1.105166888390081      5.183153818259519    -17.852455059797517     -1.827118530479537    218.551678951401925   -725.215383871984614   1103.349218991515954   -829.457637545655530    248.831998698700403
0.007      3.955728799952456     -1.100041979791004      5.185772570448423    -17.803078081312883     -2.756312365006460    217.424741033640203   -699.525710632217283   1029.546180610162992   -745.810732229316500    214.773123001940121
0.008      3.955345015848308     -1.090843616706379      5.085826939219618    -18.129940317175702      1.175697682348781    214.391538970742999   -736.612467427666502   1142.039303406509134   -869.742045622105934    263.447045316495462
0.009      3.955284749350224     -1.098512378810960      5.047355903918589    -17.364072799332956     -0.646563173945912    206.219204993336916   -688.582788711467970   1048.295231130961611   -787.059956467121765    235.582723486342189
0.010      3.954675998757922     -1.092334666737307      5.007007626177656    -17.562064790369053      0.967096474909013    205.084118008552764   -699.228334191556996   1076.421705336483456   -813.692049362503099    244.477409007818636
0.011      3.954197256003935     -1.096234517571252      5.020182960760651    -17.229018777236067     -0.627417148248565    202.144570139051496   -667.027783905636966    999.638930604069401   -736.301599882113578    215.553815718521406
0.012      3.953617359087687     -1.086458784711238      4.979903396997006    -17.484691647801842      0.698937004206704    203.725310203460339   -685.490898870001161   1039.342859982911705   -772.119861082534726    227.558497716224736
0.013      3.953321227061949     -1.082909724940305      4.968679956686256    -17.670802017913761      1.263000828894591    206.598426442239457   -702.158365711864690   1071.148869066888437   -799.221770337717430    236.301804411770974
0.014      3.952902399893750     -1.087603767165568      4.985670089273820    -17.403931864918718      0.101275161986229    203.888359678512046   -678.262018512185136   1018.597309433044984   -749.663493013944503    218.887138010726517
0.015      3.952648334006104     -1.081266269023456      4.953795021793052    -17.665868403196701      1.342827359166821    207.167078059234370   -705.335204653351525   1076.785626790345077   -803.611213142994075    237.600281181057426
0.016      3.952720827373315     -1.085497778555099      4.906203953272649    -17.115939580858758      0.843724897065035    197.153745222490357   -661.014965709143326    996.875968885528096   -735.911569954968741    215.394895150082277
0.017      3.952430537363461     -1.084678991532286      4.886036925301204    -17.040371189358101      1.111170937899308    195.284006642332429   -658.007153501598282    996.519070546174476   -738.654672693730845    217.058951116444632
0.018      3.952118257429770     -1.080704134635952      4.838233303763042    -16.970877635770879      1.781311810704044    192.008245558463784   -650.274386408119994    984.782060936592529   -728.261196325432707    213.197334949281526
0.019      3.951807578497741     -1.088849517576968      4.846143407689075    -16.237183244885674     -1.164351010163276    186.035042240135596   -594.749951423275206    861.702108758635973   -611.493128513399256    171.893680533131089
0.020      3.951859005294460     -1.084879596865778      4.787110727767629    -16.298536368279976      0.179115722546609    186.516567522075434   -615.849103421000564    916.855821153357283   -668.129624510017265    192.932989031080126
0.021      3.951465905965311     -1.082841729264573      4.732466841950201    -16.088132979088876      0.663546333807693    181.807198485709790   -603.856997288647563    902.298358709793661   -659.536098520781024    190.981478219030379
0.022      3.950903516717972     -1.080566400287726      4.700295110471730    -15.698719070336042      0.153476763555610    172.563619479623526   -557.534263242999373    811.571843442220711   -577.728917188812488    162.796269656825018
0.023      3.951341537771000     -1.088586543019816      4.636548254377503    -15.105460660437815     -0.229933403022731    165.630920951995449   -533.724561594851707    778.153066948471405   -555.851485008965824    157.342294586591095
0.024      3.951002743310293     -1.082101598340239      4.622332945329879    -15.405715541465382      0.758828934758290    169.474929571358615   -558.626413534859807    827.891698909945490   -599.955900710879405    172.164468566078483
0.025      3.951172600669739     -1.087338501348374      4.551210880004050    -14.786805154854322      0.831027392336524    157.964748091966698   -519.036624535643227    768.366263407514793   -556.936581833851619    159.962180420658058
