    Z                     p0                     p1                     p2                     p3                     p4                     p5                     p6                     p7                     p8                     p9
0.001     -0.274963874228510      2.592913257920372     -6.999574835274385      5.538402989888000      6.539711806244837    -15.479848352034345     11.392942164801038     -3.782568135616852      0.496345662593979     -0.005966942331325
0.002     -0.259966850728657      2.538305114302573     -6.744217646302778      5.730242985002179      5.475619881548963    -15.517138141283416     13.425119332329846     -5.772945411686291      1.251302021674423     -0.109120492359754
0.003     -0.245958077780948      2.622732875400729     -6.864519507647389      5.200952156761568      6.232914745757765    -14.956761057757696     11.888570735039632     -4.727725082174135      0.947353077307361     -0.076234647144373
0.004     -0.224734809156205      2.748014407979277     -6.776861607688639      4.137416287322674      6.811446763062955    -13.363141927900180      9.577568929852580     -3.487248270033845      0.643335292284098     -0.047792115834185
0.005     -0.246013550003708      2.616932392895938     -6.173893969733153      3.983442487777659      4.811592162576961     -9.840072261774791      6.889937635627057     -2.422114911682816      0.429214988162661     -0.030535295650906
0.006     -0.237896587081748      2.641989595379567     -5.940632131832569      3.663494326718920      4.074020081858104     -8.067515120485176      5.432506418828559     -1.835359398818579      0.312420291442590     -0.021340434591996
0.007     -0.242232249074631      2.607824509379842     -5.724549513263161      3.585234412730162      3.262519754347401     -6.615501691962250      4.353465404501118     -1.427633807816585      0.235282882941298     -0.015538750715552
0.008     -0.236282458387249      2.595243692497391     -5.574796874591705      3.543339979898269      2.659385020367385     -5.625217884607044      3.665089979417138     -1.181725193375680      0.190963672808398     -0.012346486915969
0.009     -0.237314890015090      2.569551691741717     -5.359056238972355      3.352755998525298      2.323097904146969     -4.920315538318065      3.151441520826823     -0.996632083796169      0.157825503837229     -0.009994195274514
0.010     -0.230949949742269      2.561237396572300     -5.304202809421142      3.357755213963563      2.126211741322763     -4.682191996317197      3.021855324645045     -0.958540501086015      0.151874640374715     -0.009604373714402
0.011     -0.229862971502365      2.429903056876231     -5.044612237410290      3.626684368139472      1.057934590512945     -3.553260831724979      2.426672257361976     -0.787582771517937      0.126317687537563     -0.008046405809230
0.012     -0.204217139887278      2.527418777127513     -5.323420253623175      3.364556526751303      2.238536019827413     -4.777346063531431      3.035684819810724     -0.949683235036450      0.148590693751144     -0.009291373412059
0.013     -0.222311154792621      2.517199822303830     -5.119340786073991      3.206061729092723      1.957614317266164     -4.291528021070900      2.735919782761304     -0.857386164304582      0.134345648856874     -0.008411819065987
0.014     -0.182786956512193      2.580048577120590     -6.245512067983027      4.156128773217635      5.761248829092633    -12.225098860663708      8.842128170004028     -3.080658161545694      0.493850164768070     -0.025140927044942
0.015     -0.169572780955788      2.606553102820741     -6.557943048873693      4.520248912078292      6.536953284196099    -14.608106191091569     11.444200886905834     -4.529908335401569      0.904264950950880     -0.071975940115830
0.016     -0.164213565070535      2.497282046920088     -6.434524255494861      5.004184199227305      5.713696489837184    -14.631289606232855     12.267439118075201     -5.187963457974474      1.116234759334366     -0.097279850617450
0.017     -0.192695367014132      2.494517180248916     -5.953847559189234      4.116337468413339      5.084863628013784    -11.478582269311813      8.763128368677995     -3.353137845544489      0.644797156608176     -0.049420928095117
0.018     -0.164028044524420      2.556898631591847     -6.258878777563240      4.395500469245756      5.596627882818750    -13.137105036206137     10.636164020534491     -4.404046550770635      0.936602006172310     -0.081346587574509
0.019     -0.152346523804752      2.473231376836139     -6.431716152706442      5.145018254900092      5.765773680365779    -15.212180912958910     12.951506465032883     -5.533799573603698      1.198346650802684     -0.104812593816851
0.020     -0.165036315535011      2.485237967714706     -6.167624558803659      4.534118918386659      5.367642634521032    -12.884678766281681     10.285361769370972     -4.133229917039086      0.842803150299315     -0.069496075569771
0.021     -0.169061688012172      2.456781226604190     -5.950803028209772      4.417166323903967      4.510230753021268    -11.134596907230716      8.806534630387407     -3.486558133278618      0.698489895322266     -0.056472813617374
0.022     -0.161642618427787      2.473266939012258     -6.058664893359106      4.353191099624138      5.089056726748214    -11.862082191418233      9.185892082886049     -3.567681696006414      0.700334245332692     -0.055386265131330
0.023     -0.172465652228779      2.487155619417057     -5.778260578747188      3.943355641121019      4.468284250986491    -10.061677607018121      7.554641198437673     -2.846687858854641      0.542172618432313     -0.041598830448885
0.024     -0.176652489582963      2.426240906433004     -5.603498146874859      4.010917082004131      3.763066046109210     -9.007761371514997      6.781941708313673     -2.536776711380734      0.477326666309792     -0.036072145263006
0.025     -0.165156539779780      2.371531676748527     -5.714410476305058      4.285508009521520      3.809771053937743     -9.340156399865949      7.000115500347418     -2.586928503075023      0.478847769946692     -0.035494915965862
0.026     -0.166253763783031      2.343277073208736     -5.578019590950030      4.194360207940902      3.214701709821964     -8.069853349090492      5.940048398980359     -2.145658510822944      0.387644773861744     -0.028029470233879
0.027     -0.166238796303687      2.389789341606831     -5.565628473959404      3.917681540594179      3.323775836304469     -7.663938583762837      5.442315364617992     -1.910183851987169      0.336281256489349     -0.023730869738668
0.028     -0.163653211083519      2.385201655662991     -5.430473556820437      3.812010762923943      2.821374070953387     -6.685546874509625      4.703252329920875     -1.629137033855457      0.282683347038544     -0.019647448994802
0.029     -0.162117881512051      2.346419571106757     -5.337010393159104      3.894142376126094      2.283377939063000     -5.916003706954950      4.170937224150375     -1.432287519177348      0.245336412423582     -0.016791581862131
0.030     -0.160904537526407      2.326168873053857     -5.271707835733078      3.892404617070659      2.038277791768467     -5.511502795148550      3.870240678907622     -1.315474182527325      0.222420994184361     -0.015003856873721
0.031     -0.164722474821605      2.367049073933431     -5.254229849570248      3.724474224489491      2.172362413584618     -5.463442963927434      3.757911461035885     -1.256923233993759      0.209295133701571     -0.013902097412807
0.032     -0.162692918390616      2.323251043904488     -5.124172728738308      3.810100024310774      1.464710921564262     -4.457379691851791      3.088726828231380     -1.022607732392973      0.167572536005177     -0.010923461638879
0.033     -0.155176612756127      2.333205478211117     -5.191495656217330      3.774491583877454      1.729160655801252     -4.739607660235853      3.217381867325814     -1.049460446079002      0.169576069477737     -0.010898214177689
0.034     -0.156365905793099      2.313026833096946     -5.058940979318145      3.780945177670208      1.142785474604039     -3.857560479031484      2.637491237555283     -0.852861429679059      0.135957033165667     -0.008601233993550
0.035     -0.153666590667210      2.275710067810338     -4.952280239834920      3.831159256478381      0.673828441131337     -3.227997933089296      2.246202523317639     -0.725056605187112      0.114718256236861     -0.007184509684052
0.036     -0.158657177401099      2.287620747696652     -4.932441967882145      3.792950126061392      0.623319627001150     -3.086789182301672      2.130679900084823     -0.680435228499779      0.106378488167500     -0.006577488760612
0.037     -0.153136783719241      2.269386459572985     -4.893007925019827      3.813351592959298      0.435608954673477     -2.820240785057034      1.956054514114577     -0.620952347750046      0.096185630144106     -0.005883395524117
0.038     -0.153236651166216      2.247207988138381     -4.852387068557059      3.868403044351363      0.230187356471116     -2.595538344091127      1.831043820838054     -0.582602282181211      0.090024362674050     -0.005479380901573
0.039     -0.148569316096645      2.227996926643577     -4.819277069602559      3.913278616662355      0.014271004928957     -2.322358530395918      1.664915417083427     -0.529389094806364      0.081394392490704     -0.004920945226654
0.040     -0.142681618840678      2.194361941241059     -4.821446374030849      4.073256247993904     -0.193364832890188     -2.224552613500970      1.651676483163481     -0.532722364500320      0.082563402947354     -0.005015764842362
