    Z                     p0                     p1                     p2                     p3                     p4                     p5                     p6                     p7                     p8                     p9
0.001     -0.370717553502561      4.897291072159065    -22.786355196799072     21.927942045871763     97.765339224817509   -251.288135116603399     70.844646145308317    350.242782450859238   -409.111598814591446    137.299070836771449
0.002     -0.345522595061572      4.718307208054840    -22.167302326049455     24.129306458351824     86.736687901411997   -256.412189223446205    160.882954083816912    175.478268338603385   -270.078722509291310     96.468818182509224
0.003     -0.323299830444076      4.466985045276397    -22.041889005127583     33.488861554365094     61.630999122890714   -301.077511932076277    434.392910498561946   -265.723465268706377     40.766310183833816     13.852168784647738
0.004     -0.307720909521333      4.362949947896332    -21.976195986932900     35.882625640859096     55.696635420492790   -313.665958548977244    509.157830581514361   -392.691653458590451    136.950143704334920    -13.953235191781040
0.005     -0.295930999259855      4.213824964039546    -21.496247649815423     39.131826711337013     40.577616492288378   -314.943948552916027    608.730810107272191   -591.024166505425455    294.218601450342362    -59.630286966292999
0.006     -0.283766112521099      4.110184065547372    -21.616294349657057     42.564590855345919     36.143051304000046   -342.880576122112473    707.500339270723543   -721.157558764501573    373.242998372861337    -78.123334743166680
0.007     -0.269453904778247      4.003929800887335    -21.917389852388819     46.761048164900117     32.225288645306975   -376.860212437807490    813.783433563501944   -849.938356612022517    445.326985353720090    -93.599395519475593
0.008     -0.259492728379262      3.891366320336027    -21.950443486257793     50.369712259324764     25.644172216292191   -400.787513112508918    912.651280818128612   -987.055914994799991    531.080178756598684   -114.052383511965985
0.009     -0.251492996925081      3.871857095863761    -22.001113526963255     49.914211380764954     29.086068438272683   -400.254988366829366    883.385172581116080   -928.385727761888006    485.609641634000639   -101.423684049126862
0.010     -0.241571359546564      3.826987030409656    -21.913879569922557     49.823224956772030     28.459155554274563   -394.043668921635799    864.651331915864262   -902.334438227452551    468.336806074319099    -97.002979625564137
0.011     -0.234588619757858      3.779145660855686    -22.070639292538466     51.708981811905161     26.694538436352993   -407.492228854906671    906.276206546527760   -952.430886428026042    496.504815608564513   -103.158611861905285
0.012     -0.229329184112698      3.752060303007826    -21.811799913544860     50.422594124849660     27.517770387139024   -394.013023812411802    860.418967364548394   -889.646399837233503    456.663655863442216    -93.484329912963588
0.013     -0.224056870154335      3.723734708663115    -21.634146637687625     50.197105506340307     26.677448813693399   -390.008686915073838    851.764704079786497   -878.848101940561151    449.613547939064858    -91.658351393751829
0.014     -0.219118516612311      3.718814009732580    -21.811771553073299     50.226062158663005     29.829890822082582   -395.125830487767985    844.873680165643123   -855.889840019754047    430.235035663865688    -86.223822745137497
0.015     -0.220312165637225      3.739149458588268    -21.309697108809985     47.066907922888262     31.994603352959373   -372.799228099590323    779.120562268823733   -778.123036337934991    387.115685211668278    -76.967246470016008
0.016     -0.208713904495186      3.681347963249153    -21.845303545205038     50.722772973642556     30.270357919655321   -400.177905356337760    852.984787087772247   -860.393970876911339    430.433947600550198    -85.844699146924285
0.017     -0.207959366019846      3.667351956597754    -21.642281402214397     50.151370576900568     29.319680145075459   -392.583430397048289    837.486498018600173   -845.183156813191545    423.034394991383806    -84.415520940455224
0.018     -0.205816151257573      3.605655344535942    -21.269155795411699     50.822733830311002     23.415494766500675   -387.239287522257086    852.903729640658412   -880.184146825578068    448.807248036212627    -91.026756159244187
0.019     -0.198746398464679      3.563476470771748    -21.150725193059028     50.473828946440598     22.544802524230633   -376.601543372999458    823.938533772538335   -844.783311910223119    428.261647667358147    -86.414569221502077
0.020     -0.195944622090767      3.561955055971293    -20.853030925320962     48.613292529788545     22.961615354870563   -355.734604377316032    762.499952772718643   -768.639900778638889    383.827843743646326    -76.399293467228844
0.021     -0.188366426331931      3.529792134309642    -20.797459107151397     49.006914959551253     20.688282833946207   -352.334543522247770    763.751617883255221   -776.400479945643383    390.778372390097047    -78.392769095115597
0.022     -0.185098675753962      3.493293967910499    -20.653859172883248     48.782598069174007     19.406380379559167   -342.837084535841541    740.219181016606512   -748.816473508216518    375.237086445260104    -75.000392139194972
