    Z                     p0                     p1                     p2                     p3                     p4                     p5                     p6                     p7                     p8                     p9
0.001      4.017235659099924     -0.945434152054212      2.952452487234507     -5.465179937468607     -9.341010991980157     45.319501663219995    -37.126918206420989    -35.805063782664284     65.130868265695355    -25.085297445388552
0.002      4.014305654934168     -0.946228256646943      2.854676304417940     -4.446935641587906    -10.376310802605211     38.217323913306835    -14.928947705202470    -62.342651874363675     79.804468871827666    -28.190901195291342
0.003      4.010895738499612     -0.904012222124985      2.915209202529208     -6.112985763458681     -6.715918093936379     48.153521992631937    -65.929651637749700     17.587193358410858     24.215469511890465    -13.564500801683916
0.004      4.008794668585342     -0.885314856792386      2.938039812648432     -6.720462452931783     -5.123250948768473     51.898192198187544    -90.022251236021532     61.219570560483014    -10.438438697244921     -3.215493729680657
0.005      4.007089357554134     -0.854706484032669      2.853225965632675     -7.476962005098425     -1.559700770027053     52.655355684883439   -117.032271848948540    115.939846946421213    -54.815171397744180      9.944704073857350
0.006      4.004833511373864     -0.833614199360649      2.952792837948255     -8.641640808054476      0.167876644061728     61.587858629007229   -153.030532949054503    168.222000305435500    -89.565320287123185     18.799945481566841
0.007      4.003002309255351     -0.818624383629158      3.040841938348739     -9.287347134808993      0.318272149803712     67.803075656395706   -169.844619191418161    187.386271541075104    -99.887209515521775     20.953710061328128
0.008      4.001390435433858     -0.801485416597876      3.095367542726313     -9.976011418299333      1.125442152327394     73.382476835732817   -189.453850276230668    213.494459836479990   -115.962790415864063     24.765796991455023
0.009      4.000335268572054     -0.799296986598616      3.125500651022435     -9.856050381126463      0.339638134935892     73.143691617917227   -183.280063937325821    201.910845440936129   -107.362944204488414     22.451119161521149
0.010      3.999077314904264     -0.793778815934461      3.132384072683009     -9.780733292946175      0.131510702334926     71.877495668543588   -177.628331775903575    193.355746149669500   -101.618370670174968     21.000256689867214
0.011      3.998200410370723     -0.789242785945434      3.150593539407244     -9.807418443976131      0.070176006114679     71.574051878743759   -176.003513581264230    190.940096861241898   -100.116122726115407     20.660141812202898
0.012      3.997179100936363     -0.779594406161041      3.144158132552647     -9.878825083139969      0.128343310746276     71.756985128214296   -175.689491325705660    189.382247172067736    -98.548406156179837     20.165937468227533
0.013      3.996685771161051     -0.778560117356000      3.137581658091255     -9.750303655902925     -0.121649962388305     70.884533756740453   -171.807667205551411    183.760580008493406    -94.927005501324388     19.285653444591471
0.014      3.996131463501268     -0.780882081377209      3.147809984194419     -9.485868869869970     -0.932323365390679     69.727956040893318   -164.279762447281001    172.248602976804108    -87.431804240436620     17.470766385171025
0.015      3.995873050868018     -0.782658793107006      3.144482966937036     -9.335539416604995     -1.218190054088814     68.955942020139531   -161.015413680177431    167.870781800107864    -84.805058977061151     16.871212290502861
0.016      3.994517107626027     -0.772023635873454      3.160556273504411     -9.536221221636508     -1.048342048354920     69.990684070290868   -163.699615526276830    170.490057730737419    -85.953808384657123     17.056287579327886
0.017      3.994437310713816     -0.773024183462375      3.147227748388197     -9.367870987705732     -1.194842239297033     68.676494075530499   -159.857391177114437    166.126074949779905    -83.661320366627152     16.593312138245022
0.018      3.994142306180904     -0.763119038637373      3.109737482023752     -9.464501878486558     -0.508529575917523     68.024867257429207   -161.420148441509895    169.809832647486303    -86.394745603378922     17.296446837487373
0.019      3.993318407561197     -0.760432724156133      3.103456093350213     -9.327092505094420     -0.636853642451078     66.264313335912846   -155.674118001650783    162.496236062369491    -82.108440779220032     16.334177841398787
0.020      3.992901344640406     -0.758685133764757      3.065966832462036     -9.056421948286168     -0.660101092750522     62.849555414572620   -145.819963262963910    150.439756575221878    -75.146112899463986     14.777869083819805
0.021      3.991920056689612     -0.751131983376126      3.068474541285508     -9.175681358362084     -0.372252609552830     62.978660440751192   -147.268933901949225    152.720016944635461    -76.655301805212517     15.150309597689283
0.022      3.991406778349274     -0.748067472094634      3.055350770187566     -9.079101390339479     -0.327965754230316     61.209846341672844   -142.232377222804217    146.585678087082499    -73.143449737448918     14.375102379835935
0.023      3.991622229796678     -0.744960334643696      3.018457305345654     -8.981158245991605      0.012157865471874     59.030752772633448   -137.725009129302663    141.984118058641883    -70.795711954654038     13.896782874242898
0.024      3.990779736014908     -0.738078643162611      2.998747713242294     -8.964183418455182      0.328244042764554     57.498515020339795   -134.719748532055831    139.008695394162430    -69.319486833191789     13.604084501468327
0.025      3.990544050270136     -0.731817003137642      2.980349592868329     -9.011282577946433      0.772491513773565     56.261903882577187   -132.882524437593645    137.414792767018184    -68.553584857323671     13.446945952331253
0.026      3.990196830298912     -0.728638832587219      2.945238454034728     -8.903962171429425      1.113325539286257     54.017108701470200   -128.373927315263415    133.015373648193901    -66.419511764163033     13.033465830541848
0.027      3.990728849592057     -0.718214859951101      2.876404352470081     -8.928982539067640      2.126527224955733     51.385433296250376   -125.805088746423252    132.477407565154436    -67.034932351471369     13.320281284994705
0.028      3.990315240940517     -0.713057966860030      2.867589035844803     -8.942807845612322      2.327753962776739     50.552115212071726   -124.113662013824282    130.680510755410722    -66.074628634105082     13.116105273430584
0.029      3.989693973865513     -0.709739002641769      2.856234910185509     -8.847141818597423      2.315856025843858     49.210217218098116   -120.262550915789859    126.068710380581550    -63.485363380834883     12.554871198442672
0.030      3.989300987506389     -0.709637363070436      2.839103088492735     -8.719056193971575      2.476718436632920     46.733863671982377   -113.798409744648268    118.432414569783475    -59.145260846299443     11.592018251038887
0.031      3.988913963394809     -0.705537446396796      2.815805388318470     -8.684028765617411      2.970426463479702     44.260545984399940   -108.914758614704439    113.563387435655358    -56.706330860108132     11.103033391408164
0.032      3.989135664475372     -0.702989235426443      2.754242821327465     -8.509903427775074      3.560737577237789     40.643745941487957   -101.871134513690421    106.848195556452268    -53.520360969168095     10.500492210328723
0.033      3.988484522692159     -0.697247655064426      2.747108305462923     -8.544563182201896      3.898015462800684     39.258522961117848    -98.999922617341298    103.742238049891881    -51.842027937178727     10.142172072905987
0.034      3.988891548626369     -0.698597023745475      2.716382556096294     -8.396069468628745      4.045921297564469     37.308613368690068    -94.520296299805068     98.994583875632088    -49.387715858165286      9.641605264929966
0.035      3.988530627277978     -0.691059755508723      2.693878716963437     -8.451209709616679      4.588660308850925     35.764864121171804    -92.242715413971155     97.113526031747384    -48.561616146533744      9.490933150507024
0.036      3.989020638350289     -0.686724837137229      2.549193810003671     -7.953541893674704      5.928438232307481     25.660400021678218    -70.532045809517612     74.699815928483119    -37.148610152277371      7.188358940513316
0.037      3.988476227173466     -0.682979145214606      2.548539083625259     -7.987033302023561      6.082822678164027     25.252944639460260    -69.916107130032998     74.202689164793185    -36.957786781471739      7.163296024931828
0.038      3.988458282786202     -0.677880999592015      2.506565609880770     -7.900705318411987      6.434299877523028     23.206799020289917    -65.754923410431076     69.957797804445647    -34.783978097675956      6.718764249619831
0.039      3.988127182439563     -0.677096922310198      2.529998721997338     -7.948593281277047      6.015463970199900     25.399847292772229    -70.154141825082561     74.404489177235249    -37.035180454750154      7.172807817214407
0.040      3.987423949460821     -0.680390450165801      2.609735692916140     -8.046922746848681      4.543709724296499     32.014489305853211    -82.369043675931309     86.002748051926076    -42.620849192268686      8.255147791989186
