       J        J-K 
  13.718      0.931 
  14.617      1.016 
  13.965      0.904 
  11.937      0.529 
  12.970      0.916 
  14.206      0.963 
  11.873      0.521 
   9.517      0.077 
  14.200      0.987 
  14.090      0.900 
  11.917      0.627 
  13.978      0.880 
  11.112      0.366 
  14.508      0.891 
  14.424      0.905 
  12.057      0.600 
  14.561      0.907 
  10.325      0.285 
  14.585      1.002 
  13.710      0.966 
  12.760      0.873 
  12.872      0.905 
  12.316      0.629 
  14.528      1.016 
  13.393      0.989 
  12.200      0.651 
  11.079      0.409 
  14.421      1.015 
  14.345      0.944 
  13.770      0.869 
  12.903      0.888 
  14.736      0.950 
  14.196      0.905 
  14.240      0.874 
  14.285      0.944 
  12.602      0.742 
  14.646      0.920 
   9.740      0.105 
  10.188      0.265 
  14.433      0.918 
  14.321      0.961 
   8.413     -0.056 
  14.024      0.984 
  14.378      0.877 
  14.883      0.967 
  14.283      1.003 
  12.755      0.839 
   8.036     -0.006 
  14.293      0.906 
  13.833      0.907 
  12.036      0.627 
  14.140      0.933 
  13.580      1.002 
  14.396      0.959 
  12.186      0.571 
  12.732      0.769 
  11.364      0.483 
  13.370      0.879 
  13.851      0.872 
  14.116      0.929 
  11.236      0.424 
  12.800      0.718 
  11.734      0.508 
  14.168      0.957 
   9.995      0.230 
  14.572      0.946 
  13.788      0.942 
  12.800      0.718 
  13.308      0.987 
  13.899      0.911 
  13.896      0.927 
  10.795      0.388 
   9.904      0.117 
  14.403      0.944 
  11.964      0.542 
  14.682      1.000 
  12.581      0.785 
  11.182      0.419 
  13.644      0.961 
  13.985      0.879 
  14.244      0.996 
  13.923      0.934 
   9.977      0.151 
  10.970      0.336 
  12.357      0.593 
  13.414      0.927 
  13.292      0.951 
  13.415      0.880 
  11.435      0.516 
   7.023     -0.040 
  13.346      0.994 
   9.814      0.138 
  13.754      0.948 
  14.327      1.011 
  14.187      0.994 
  14.063      0.941 
  13.567      0.917 
  12.004      0.568 
  14.155      0.925 
   7.230     -0.063 
   7.721     -0.068 
  14.779      0.935 
  12.077      0.594 
   9.585      0.105 
  13.886      0.945 
  10.149      0.202 
  12.078      0.585 
  14.589      0.883 
  13.080      0.832 
  13.234      0.970 
  14.527      0.887 
  10.864      0.344 
  13.234      0.970 
   7.502     -0.074 
  12.248      0.681 
  13.928      0.901 
   7.801     -0.065 
  14.319      0.902 
  14.591      0.939 
  14.552      0.916 
  11.643      0.462 
  11.816      0.549 
  14.167      0.985 
  10.016      0.228 
  14.174      0.881 
  14.826      0.959 
  14.532      0.882 
  14.025      0.914 
  14.552      0.930 
  11.828      0.488 
  14.592      0.899 
  14.770      0.915 
  10.799      0.309 
  14.568      0.882 
  10.857      0.348 
  13.521      0.931 
  11.498      0.459 
  10.429      0.276 
  11.334      0.448 
  14.644      1.001 
  13.441      0.985 
  13.764      0.914 
