       G      Bp-Rp 
  17.948      3.006 
  16.866      2.629 
  13.615      1.222 
  17.287      2.481 
  13.291      1.125 
   9.967      0.308 
  17.586      3.302 
  17.235      2.961 
  13.412      1.206 
  17.209      3.032 
  12.346      0.956 
  17.915      3.291 
  17.819      3.136 
  13.739      1.264 
  17.916      3.216 
  11.358      0.702 
  17.998      3.205 
  16.693      2.749 
  17.396      2.947 
  15.005      1.816 
  15.139      1.834 
  14.146      1.451 
  17.786      3.136 
  13.924      1.386 
  12.398      1.052 
  17.600      2.992 
  13.933      1.468 
  17.487      3.012 
  16.568      2.581 
  15.163      1.849 
  17.904      3.074 
  17.357      3.103 
  17.624      3.265 
  17.594      3.102 
  14.521      1.549 
  17.923      3.174 
  10.255      0.380 
  11.200      0.766 
  17.652      3.000 
  17.527      2.983 
   8.686      0.160 
  17.281      2.864 
  17.343      2.807 
  17.989      2.520 
  17.490      2.939 
  14.753      1.627 
   8.258      0.111 
  16.289      2.181 
  17.418      3.080 
  16.634      2.518 
  13.820      1.339 
  17.112      2.753 
  16.195      2.320 
  17.696      3.112 
  13.828      1.282 
  17.791      2.892 
  14.844      1.647 
  12.728      1.024 
  16.699      2.478 
  17.365      3.062 
  16.566      2.369 
  13.189      1.167 
  17.310      2.914 
  10.795      0.599 
  17.688      2.986 
  16.842      2.826 
  15.400      1.948 
  17.069      2.991 
  16.727      2.561 
  12.055      0.930 
  12.802      1.147 
  17.266      2.992 
  10.662      0.521 
  17.558      2.836 
  13.388      1.114 
  17.890      3.023 
  14.572      1.584 
  12.534      1.015 
  16.376      2.429 
  16.735      2.410 
  17.173      2.745 
  16.531      2.308 
  10.642      0.471 
  12.116      0.877 
  13.935      1.271 
  12.838      1.116 
  15.591      1.990 
  16.789      2.400 
  16.146      2.360 
   8.337      0.184 
  12.743      1.052 
   7.080      0.060 
  15.858      2.182 
  10.362      0.420 
  16.725      2.625 
  17.356      2.778 
  17.678      2.657 
  16.988      2.622 
  15.938      2.160 
  13.500      1.157 
  17.157      2.753 
   7.304      0.049 
   7.713      0.014 
  17.905      2.773 
  13.543      1.170 
  10.176      0.411 
  16.673      2.485 
  11.012      0.677 
  13.545      1.186 
  17.813      3.036 
  15.315      1.841 
  16.143      2.463 
  17.813      3.015 
  11.957      0.840 
  17.421      3.180 
   7.648      0.062 
  17.922      3.127 
  14.079      1.383 
  16.724      2.580 
   7.958      0.105 
  17.525      3.150 
   9.809      0.345 
  17.816      3.072 
  17.921      3.409 
  17.854      3.127 
  13.059      1.085 
  13.240      1.100 
  17.557      3.373 
  10.826      0.623 
  17.093      2.710 
  17.922      2.924 
   9.172      0.163 
  17.732      2.947 
  16.953      2.734 
  17.655      2.914 
  13.205      1.096 
  17.645      2.975 
  17.961      2.933 
  11.820      0.803 
  17.686      2.916 
  17.629      3.131 
  11.881      0.819 
  12.943      1.074 
  11.409      0.756 
  12.592      0.975 
  17.804      2.986 
  16.730      2.802 
