       V        B-V 
   8.770      0.071 
   7.980      0.056 
  10.300      0.266 
   8.260      0.064 
  11.410      0.510 
   9.100      0.169 
  11.580      0.525 
   7.660      0.010 
  11.490      0.506 
  11.160      0.467 
   7.590     -0.011 
   6.880     -0.008 
  10.610      0.320 
   7.340      0.005 
  10.650      0.410 
  10.390      0.301 
   7.760      0.002 
   7.120      0.006 
   8.230      0.099 
   8.880      0.100 
   7.990      0.037 
  10.240      0.310 
  10.930      0.407 
   9.900      0.267 
   9.260      0.144 
   7.500      0.030 
  10.290      0.333 
