       J        J-K 
  11.899      0.919 
  11.051      0.628 
  12.678      0.930 
  12.020      0.888 
  14.159      0.907 
   8.718      0.213 
  14.012      0.947 
  12.654      0.902 
  13.865      0.921 
  11.539      0.785 
  14.056      0.984 
  12.754      0.943 
  10.573      0.596 
  13.607      0.898 
  14.148      0.820 
   9.081      0.255 
  11.589      0.820 
  13.443      0.872 
  13.128      0.929 
  13.630      0.850 
  13.394      0.884 
   8.995      0.223 
   7.078     -0.027 
  12.266      0.868 
  13.047      0.888 
  14.421      0.908 
  14.128      0.926 
  13.080      0.862 
  13.679      0.865 
  13.678      0.935 
  12.826      0.942 
  13.912      0.909 
  12.200      0.934 
  12.886      0.907 
  11.044      0.652 
   9.655      0.388 
  13.309      0.906 
  13.896      0.865 
  14.430      0.967 
   7.691      0.048 
  12.760      0.850 
  11.214      0.746 
  13.760      0.904 
  13.530      0.895 
  11.941      0.921 
  13.492      0.919 
  10.991      0.596 
  11.805      0.899 
  10.999      0.668 
  13.844      0.898 
  12.638      0.899 
   7.206     -0.054 
   8.090      0.017 
  12.572      0.952 
   8.233      0.070 
   6.752     -0.044 
  11.021      0.682 
  13.021      0.893 
   7.306     -0.014 
  12.883      0.884 
  11.792      0.892 
   7.439      0.028 
   9.351      0.333 
  13.708      0.919 
  13.282      0.940 
  13.721      0.874 
  13.640      0.934 
  12.146      0.864 
  13.628      0.889 
  14.152      0.933 
  14.317      0.906 
  13.516      0.870 
  10.496      0.524 
  14.547      0.891 
  13.037      0.881 
  13.078      0.866 
  14.381      0.894 
  10.317      0.500 
  11.273      0.692 
  14.381      0.869 
  12.657      0.875 
  12.956      0.893 
  12.579      0.904 
  12.403      0.900 
   9.047      0.225 
  14.231      0.960 
   8.104      0.099 
  14.273      0.915 
  12.481      0.948 
   8.153      0.086 
  13.087      0.848 
  10.668      0.499 
  11.661      0.838 
  11.960      0.903 
  13.472      0.894 
  13.836      0.906 
  12.746      0.909 
  14.097      0.911 
  14.255      0.903 
  12.764      0.907 
  10.878      0.685 
  14.007      0.865 
  14.012      0.971 
   7.400     -0.005 
  13.733      0.893 
  11.571      0.850 
  12.039      0.957 
  12.783      0.929 
  14.345      0.861 
  11.931      0.871 
  13.365      0.908 
  11.938      0.884 
   6.461     -0.098 
  13.882      0.954 
  11.289      0.751 
  12.545      0.866 
  13.276      0.919 
  13.783      0.880 
  13.708      0.884 
  13.652      0.891 
  12.569      0.922 
  14.160      0.885 
  14.122      0.877 
  12.611      0.932 
  14.096      0.828 
  12.656      0.894 
  12.705      0.960 
  13.177      0.897 
  14.155      0.917 
   8.023      0.030 
  11.883      0.847 
   9.491      0.327 
  10.520      0.538 
  13.350      0.915 
  10.805      0.634 
  13.266      0.849 
  13.661      0.921 
  14.102      0.914 
  12.763      0.881 
  13.467      0.865 
  13.014      0.903 
  14.218      0.876 
  11.057      0.617 
  13.060      0.911 
  12.698      0.878 
  10.892      0.595 
  13.348      0.909 
  13.710      0.881 
  11.000      0.650 
  14.201      0.838 
  10.993      0.696 
  11.126      0.692 
  12.721      0.944 
   9.970      0.403 
  14.374      0.942 
  12.463      0.896 
  12.510      0.918 
   9.297      0.295 
   8.693      0.164 
  10.082      0.437 
  11.993      0.904 
  12.293      0.924 
   8.502      0.214 
  13.335      0.923 
  11.970      0.933 
  14.480      0.937 
  14.133      0.951 
  11.203      0.686 
  14.511      0.851 
  12.912      0.868 
   8.204      0.083 
  11.937      0.918 
  13.560      0.854 
  12.188      0.969 
   8.880      0.270 
  10.982      0.599 
  13.584      0.961 
  11.937      0.873 
  10.348      0.513 
  13.623      0.918 
  10.192      0.437 
  12.850      0.905 
  12.537      0.932 
  12.192      0.914 
  14.453      0.926 
  14.007      0.937 
  14.428      0.933 
  12.904      0.918 
  14.271      0.909 
  13.427      0.858 
  12.265      0.921 
  12.777      0.956 
   6.862     -0.067 
  11.652      0.871 
   9.501      0.310 
  13.717      0.914 
   9.501      0.310 
  13.981      0.874 
  13.462      0.858 
  14.472      0.881 
  14.018      0.892 
  12.943      0.965 
  12.973      0.883 
  11.103      0.647 
  11.123      0.628 
  13.399      0.979 
  13.653      0.934 
  13.365      0.890 
   7.157     -0.034 
  13.034      0.867 
  13.697      0.909 
  12.700      0.871 
  12.560      0.933 
  13.635      0.937 
  13.437      0.915 
  13.516      0.882 
   9.507      0.305 
  10.830      0.637 
  14.617      0.902 
  11.981      0.921 
  13.176      0.902 
  13.602      0.893 
  14.554      0.987 
  12.763      0.900 
   9.281      0.332 
  10.967      0.615 
  13.325      0.914 
   9.877      0.385 
  12.089      0.889 
  12.511      0.882 
  13.420      0.902 
  11.063      0.617 
  12.563      0.917 
   6.300     -0.089 
  14.374      0.967 
   7.862      0.042 
  14.416      1.000 
  13.332      0.893 
  11.999      0.887 
  13.715      0.962 
  11.487      0.761 
  13.530      0.915 
  10.683      0.560 
   9.337      0.324 
  10.719      0.582 
  14.158      0.896 
  11.989      0.859 
  13.738      0.924 
  10.485      0.532 
  14.180      0.964 
  13.768      0.898 
   8.194      0.115 
   6.722     -0.044 
  12.373      0.930 
  10.800      0.539 
  13.355      0.860 
  12.262      0.889 
  14.186      0.924 
  14.265      0.857 
   9.137      0.300 
  12.647      0.900 
  14.802      0.937 
  13.351      0.857 
  12.855      0.886 
  14.179      0.913 
  13.794      0.856 
  12.256      0.899 
  13.925      0.931 
  13.380      0.874 
  13.973      0.969 
   5.092     -0.104 
  12.673      0.893 
  10.483      0.566 
  13.877      0.972 
  14.098      0.918 
  13.029      0.893 
  12.833      0.887 
  13.828      0.930 
  12.776      0.894 
  13.630      0.903 
  13.593      0.881 
   7.856     -0.001 
  12.841      0.912 
  12.891      0.911 
  12.524      0.838 
  11.039      0.606 
  13.470      0.900 
  13.683      0.915 
