       G      Bp-Rp 
  12.510      1.204 
  15.496      2.606 
  14.584      2.276 
  17.384      3.148 
   9.518      0.629 
  17.243      3.157 
  15.397      2.477 
  17.030      3.061 
  13.583      1.599 
  17.201      3.140 
  15.638      2.688 
  10.731      0.868 
  12.077      1.184 
  16.757      3.012 
  17.407      3.166 
   9.982      0.724 
  13.656      1.686 
  16.524      3.004 
  16.141      2.860 
  17.074      3.346 
  16.526      2.950 
   9.913      0.693 
   7.232      0.086 
  16.082      2.861 
  17.828      3.494 
  17.291      3.010 
  16.082      2.800 
  16.775      2.910 
  16.749      2.777 
  15.796      2.752 
  17.138      3.112 
  15.937      2.862 
  12.857      1.427 
  10.851      0.916 
   5.797     -0.032 
  16.347      2.926 
  17.125      3.167 
  17.866      3.448 
   7.931      0.158 
  15.670      2.649 
  13.053      1.441 
   6.588      0.000 
  16.884      3.010 
  16.621      2.981 
  14.236      1.946 
  16.653      3.077 
  12.569      1.274 
  12.559      1.258 
  16.988      3.022 
  15.449      2.536 
   7.352      0.050 
   8.472      0.265 
  15.322      2.538 
   8.753      0.363 
   6.814      0.016 
  12.804      1.366 
  15.921      2.663 
   7.349      0.028 
  15.849      2.772 
   7.696      0.172 
  10.326      0.779 
  16.784      2.990 
  16.899      3.105 
  16.827      3.059 
  14.729      2.224 
  16.771      3.036 
  17.397      3.124 
  17.624      3.130 
  16.752      3.188 
  11.872      1.066 
  17.907      3.319 
  16.052      2.852 
  15.986      2.719 
  17.675      3.174 
  11.629      1.030 
  13.051      1.412 
  11.673      1.071 
  17.648      3.186 
  15.462      2.530 
  15.322      2.561 
  11.026      0.957 
  15.022      2.373 
  17.609      3.305 
   9.944      0.695 
  17.423      3.164 
  16.650      2.893 
   8.589      0.345 
  17.584      3.334 
  15.279      2.548 
   8.546      0.272 
  16.149      2.874 
  12.141      1.088 
  13.842      1.810 
  14.356      2.035 
  16.989      3.064 
  15.492      2.488 
  17.323      3.098 
  17.687      3.392 
  15.384      2.270 
  12.547      1.290 
  11.466      1.062 
  17.284      3.213 
  17.269      3.203 
   7.568      0.081 
  11.752      1.129 
  16.898      2.962 
  13.699      1.772 
  14.550      2.158 
  15.605      2.603 
  17.786      3.436 
  14.307      2.004 
  16.384      2.848 
  10.985      0.961 
  14.372      2.090 
   6.372     -0.055 
  17.474      3.610 
  17.516      3.386 
  13.070      1.456 
  15.379      2.583 
  16.442      3.090 
  10.103      0.808 
  16.899      2.955 
  16.818      2.975 
  16.940      3.194 
  15.338      2.498 
  17.322      2.989 
  17.421      3.218 
  15.358      2.500 
  17.310      3.145 
  15.549      2.634 
  15.559      2.665 
  16.169      2.842 
  17.382      3.224 
   8.373      0.234 
   8.838      0.484 
  14.308      1.982 
  10.502      0.801 
  11.925      1.093 
  16.334      2.934 
  16.656      2.844 
  17.515      3.418 
  15.136      2.077 
  16.056      2.346 
  15.993      2.832 
  17.668      3.034 
  12.496      1.188 
  15.947      2.720 
   6.857      0.053 
  15.456      2.516 
  12.510      1.243 
  16.456      2.979 
  16.933      3.060 
  12.655      1.302 
  16.969      2.612 
  12.719      1.396 
  12.792      1.379 
  15.661      2.749 
  11.192      0.975 
  17.841      3.430 
  14.789      2.064 
  15.215      2.453 
  10.171      0.713 
  17.632      3.356 
   9.376      0.529 
  11.347      0.967 
  14.304      1.964 
  14.796      2.243 
   9.335      0.646 
  14.495      2.166 
  17.634      3.197 
  17.290      3.112 
  12.829      1.327 
  17.944      3.408 
  15.744      2.686 
   8.678      0.348 
  15.892      2.842 
   9.819      0.761 
  14.291      1.751 
  16.603      2.943 
  17.230      3.287 
  14.896      2.371 
   9.744      0.700 
  12.557      1.257 
  16.786      3.104 
  14.419      2.109 
  11.714      1.084 
  16.695      2.947 
  11.442      1.024 
  15.695      2.624 
  15.159      2.387 
  17.747      3.319 
  17.290      3.234 
  17.748      3.360 
  15.785      2.696 
  17.613      3.297 
  16.407      2.876 
  14.972      2.362 
  15.568      2.586 
   6.852     -0.009 
  13.766      1.826 
  10.537      0.818 
  16.940      3.138 
  17.328      3.216 
  16.667      3.075 
  17.960      3.461 
  17.256      3.173 
  15.958      2.874 
  15.781      2.596 
  12.728      1.280 
  12.933      1.412 
  16.656      3.096 
  16.828      3.090 
  16.639      3.098 
   7.151      0.002 
  16.867      3.074 
  15.579      2.646 
  15.280      2.516 
  16.678      2.937 
  16.521      2.920 
  10.459      0.749 
  12.529      1.299 
  17.359      3.148 
  14.735      2.432 
  16.199      2.880 
  17.859      3.230 
  15.526      2.404 
  10.249      0.767 
  12.679      1.270 
  16.370      2.823 
  11.055      0.935 
  14.447      2.065 
  15.287      2.483 
  16.661      3.124 
  12.722      1.315 
  15.370      2.547 
   6.288     -0.006 
  17.606      3.086 
   8.181      0.217 
  17.887      3.367 
  16.356      2.916 
  14.571      2.233 
  16.925      3.080 
  13.487      1.626 
  16.727      3.068 
  12.097      1.147 
  10.254      0.763 
  12.296      1.229 
  17.470      3.304 
  17.078      3.280 
  11.817      1.056 
  17.394      3.253 
  16.942      3.092 
   8.731      0.396 
   6.742     -0.002 
  15.220      2.627 
  12.130      1.101 
  16.441      2.964 
  14.782      2.212 
  17.410      3.129 
  17.682      3.289 
  10.074      0.770 
  15.322      2.466 
  15.699      2.652 
  17.750      3.637 
