       V        B-V 
  10.000      0.557 
  10.090      0.513 
  10.640      0.749 
  10.620      0.597 
  11.150      0.583 
  10.840      0.810 
  11.060      0.648 
  11.090      0.700 
  10.420      0.645 
   9.710      0.488 
  10.470      0.707 
   6.880      0.025 
   8.970      0.316 
   7.940      0.121 
  10.760      0.657 
   7.150      0.040 
   9.140      0.333 
   9.950      0.468 
  10.810      0.511 
  10.110      0.512 
  10.410      0.602 
   8.090      0.214 
  10.710      0.645 
  11.120      0.644 
   9.960      0.492 
   9.250      0.430 
   7.190      0.034 
  10.330      0.558 
   9.930      0.558 
  11.450      0.686 
  10.510      0.678 
  11.010      0.683 
   9.680      0.439 
   9.900      0.497 
  11.550      0.795 
   5.150     -0.061 
   7.930      0.116 
  10.280      0.592 
  10.550      0.468 
   5.040     -0.080 
  11.110      0.672 
   7.640      0.073 
  11.120      0.830 
  10.390      0.624 
  11.400      0.883 
   9.160      0.394 
   9.560      0.446 
  11.070      0.538 
   9.140      0.351 
   8.350      0.115 
  11.670      0.786 
   9.130      0.291 
  11.170      0.655 
   8.680      0.139 
   5.260     -0.076 
   7.850      0.104 
   6.990      0.015 
   9.990      0.516 
  10.350      0.500 
  11.400      0.737 
   1.790      0.481 
   8.980      0.330 
  11.130      0.614 
   9.220      0.408 
   7.870      0.088 
   9.860      0.489 
  11.660      0.817 
   7.630      0.114 
   9.710      0.476 
   9.050      0.338 
   8.150      0.119 
  10.310      0.433 
   8.420      0.189 
   9.250      0.413 
  10.060      0.556 
   8.640      0.286 
   6.060     -0.079 
  11.430      0.651 
   8.950      0.331 
  10.540      0.565 
   7.490      0.034 
   8.480      0.200 
  11.420      0.736 
  11.310      0.701 
  10.920      0.682 
   9.720      0.472 
   9.660      0.510 
  10.300      0.551 
   7.720      0.113 
  10.170      0.546 
   9.940      0.499 
   6.830     -0.016 
  10.540      0.586 
   7.950      0.104 
  10.660      0.605 
  11.100      0.683 
   4.970     -0.092 
   7.260      0.047 
   8.090      0.166 
  10.060      0.546 
   9.660      0.446 
   8.410      0.173 
   5.580     -0.044 
   7.460      0.113 
   7.360      0.007 
  10.030      0.492 
   4.660     -0.098 
  10.280      0.551 
  10.480      0.562 
  10.730      0.685 
   7.280      0.092 
   7.660      0.103 
  10.380      0.483 
   8.790      0.276 
   5.820     -0.040 
   8.780      0.276 
  11.100      0.701 
   8.590      0.199 
   8.750      0.261 
   9.620      0.430 
   6.750     -0.019 
   9.200      0.392 
   6.620     -0.028 
  10.410      0.566 
   8.190      0.187 
   5.460     -0.104 
  10.840      0.724 
   9.610      0.446 
  11.340      0.827 
   9.480      0.399 
   7.340      0.027 
   9.230      0.210 
  11.200      0.805 
  11.030      0.598 
   6.890     -0.020 
   4.200     -0.080 
  10.200      0.353 
  11.190      0.723 
  10.060      0.552 
  10.320      0.593 
   7.450      0.004 
  11.350      0.628 
  11.170      0.620 
  10.910      0.515 
   9.770      0.162 
