       V        BV 
   9.470      0.480 
  12.030      0.940 
  12.500      1.080 
  10.510      0.710 
  10.790      0.700 
  11.470      0.880 
  10.750      0.700 
   7.510      0.150 
   8.230      0.250 
   9.540      0.480 
  11.620      0.850 
  11.290      0.810 
   8.060      0.200 
   9.660      0.520 
  11.020      0.770 
  10.680      0.680 
  10.660      0.680 
  11.540      0.880 
  10.800      0.700 
  11.460      0.840 
  10.560      0.640 
   8.170      0.270 
  11.570      0.840 
  13.460      1.440 
   9.830      0.540 
  11.400      0.850 
   5.460     -0.040 
   3.710     -0.110 
   8.950      0.390 
  10.390      0.630 
  13.760      1.300 
  10.690      0.690 
  11.930      0.940 
   8.950      0.390 
   8.580      0.340 
   5.650     -0.070 
   4.310     -0.110 
  11.200      0.780 
   9.680      0.500 
  12.480      1.060 
   8.040      0.210 
  12.130      0.950 
  13.560      1.300 
   8.600      0.350 
  10.130      0.620 
   9.700      0.550 
  10.550      0.670 
   3.880     -0.070 
   6.850      0.040 
   7.850      0.200 
   5.760     -0.040 
   6.430     -0.020 
  12.660      1.070 
  13.620      1.230 
  11.710      0.870 
  10.120      0.620 
  13.290      1.060 
   4.180     -0.060 
  10.420      0.640 
  10.540      0.650 
   7.350      0.100 
  11.340      0.860 
  11.920      0.880 
  10.260      0.610 
   9.290      0.460 
  12.120      0.920 
   9.420      0.490 
   9.380      0.480 
  10.460      0.640 
   9.900      0.540 
  10.470      0.620 
  10.520      0.650 
  11.740      0.880 
   6.820      0.020 
  11.470      0.840 
   8.370      0.300 
  13.460      1.180 
  13.390      1.350 
   9.460      0.470 
  12.410      1.040 
  13.970      1.230 
   8.250      0.260 
   6.290      0.020 
   6.990      0.030 
   7.660      0.210 
   7.260      0.050 
   8.130      0.250 
   7.770      0.150 
   6.810      0.060 
   2.870     -0.090 
  13.500      1.370 
  10.480      0.640 
  14.020      1.310 
  13.300      1.150 
  13.950      1.260 
  11.120      0.750 
   9.880      0.540 
  11.330      0.710 
  10.910      0.720 
  10.360      0.640 
  10.110      0.560 
   5.450     -0.070 
  10.020      0.560 
   6.950      0.120 
  12.600      1.060 
  10.330      0.620 
   8.370      0.290 
  13.520      1.220 
  12.570      0.990 
  13.980      1.330 
  11.530      0.860 
  11.640      0.860 
   3.640     -0.080 
  10.440      0.620 
   5.090     -0.080 
   8.120      0.220 
  14.380      1.470 
   7.520      0.100 
  12.670      1.040 
   6.600     -0.030 
  11.350      0.780 
   7.970      0.180 
  11.360      0.830 
  10.870      0.710 
   9.100      0.440 
  11.530      0.820 
  11.100      0.760 
   8.100      0.220 
   6.170     -0.050 
  11.550      0.830 
   7.540      0.080 
  10.230      0.600 
   6.740      0.060 
  13.100      1.220 
  11.030      0.730 
  11.360      0.830 
   7.420      0.130 
  12.600      1.000 
  10.310      0.600 
   6.930      0.090 
  11.750      0.860 
  13.920      1.250 
  12.370      1.000 
  13.450      1.190 
  13.960      1.400 
   8.830      0.380 
  13.520      1.170 
  12.150      1.000 
  10.970      0.740 
  13.410      1.290 
  12.690      0.980 
  10.040      0.560 
  13.120      1.160 
   9.550      0.510 
   8.840      0.360 
   7.090      0.040 
   7.260      0.080 
   9.160      0.440 
   9.150      0.460 
   9.830      0.540 
   9.840      0.570 
   9.490      0.490 
   7.730      0.180 
   7.810      0.190 
   8.020      0.220 
   8.700      0.360 
   8.300      0.260 
   7.720      0.180 
   7.000      0.030 
   9.550      0.520 
   6.070     -0.010 
   9.640      0.500 
   7.640      0.160 
   9.440      0.480 
   9.070      0.430 
  10.470      0.670 
   8.330      0.260 
   7.190      0.040 
