       G      Bp-Rp 
  15.670      1.570 
  11.950      0.624 
  17.605      2.125 
  17.113      2.112 
  12.689      0.797 
  14.869      1.240 
  17.285      2.173 
  17.863      2.330 
  17.881      2.401 
  14.194      1.057 
  16.949      2.046 
  15.065      1.332 
  16.699      2.030 
  17.060      2.078 
  13.441      0.877 
  14.790      1.221 
  17.887      2.014 
  16.697      1.929 
  17.760      2.396 
  11.823      0.604 
  14.950      1.284 
  17.491      2.178 
  17.901      2.406 
  16.359      1.788 
  16.224      1.808 
  15.281      1.390 
  14.930      1.333 
  11.897      0.630 
  13.708      0.978 
  12.560      0.739 
  13.589      0.958 
  13.855      1.060 
   9.224      0.076 
  12.992      0.817 
   8.978      0.005 
  11.829      0.625 
  11.935      0.622 
  16.096      1.684 
  12.540      0.753 
  17.480      2.277 
  15.269      1.394 
  16.681      1.926 
  13.475      0.898 
  17.290      2.181 
  12.700      0.797 
  16.723      1.929 
  17.467      2.161 
  17.903      2.443 
  17.594      2.280 
  14.835      1.246 
  14.863      1.261 
  15.026      1.312 
  16.244      1.760 
  11.207      0.470 
  17.558      2.231 
  15.707      1.562 
  16.327      1.855 
  13.875      1.006 
  16.016      1.666 
  14.306      1.105 
  13.876      0.995 
  12.704      0.808 
  13.334      0.877 
  17.209      2.215 
  16.326      1.786 
  10.596      0.251 
  14.972      1.351 
  16.666      1.940 
  15.013      1.315 
  14.721      1.220 
  16.186      1.798 
  13.740      1.020 
  16.119      1.694 
  12.430      0.726 
  14.411      1.169 
  16.233      1.754 
  14.708      1.213 
  11.134      0.419 
  14.026      0.993 
  13.652      0.948 
  10.858      0.315 
  13.701      0.970 
  12.840      0.809 
  15.453      1.423 
  17.788      2.414 
  14.354      1.114 
  11.815      0.643 
  17.560      2.327 
  17.824      2.422 
  14.400      1.111 
  15.856      1.628 
  17.773      2.723 
  15.024      1.388 
  16.684      1.926 
  17.751      2.144 
  16.288      1.801 
  17.049      1.940 
  16.290      1.555 
  16.597      1.906 
  16.336      1.789 
  15.560      1.491 
  17.600      2.222 
  16.206      1.749 
  15.104      1.328 
  16.664      1.882 
  12.006      0.647 
  15.513      1.461 
  12.376      0.689 
  15.682      1.552 
  12.905      0.827 
  15.759      1.569 
  11.942      0.612 
  14.480      1.160 
  14.854      1.256 
  14.909      1.344 
  17.948      2.322 
  16.553      1.898 
  15.355      1.429 
  10.778      0.275 
  16.796      1.992 
  16.036      1.656 
  16.995      2.048 
  12.337      0.720 
  14.619      1.195 
  12.544      0.767 
  10.717      0.263 
  16.263      1.753 
  11.214      0.465 
  14.520      1.143 
  16.860      2.033 
  14.231      1.107 
   9.898      0.122 
  15.672      1.521 
  14.228      1.118 
  13.661      0.943 
  16.992      2.055 
  15.332      1.424 
  16.271      1.775 
  17.519      2.295 
  17.225      2.186 
  17.825      2.370 
  15.540      1.469 
  17.110      2.138 
  13.747      0.992 
  15.934      1.635 
  12.235      0.681 
  13.948      1.010 
  16.783      1.955 
  14.840      1.236 
  17.758      2.315 
  15.568      1.588 
  14.726      1.214 
  11.836      0.632 
  11.974      0.643 
  15.722      1.546 
  13.556      0.925 
  14.288      1.090 
  14.165      1.044 
  10.810      0.283 
  17.869      2.351 
  14.924      1.278 
  17.537      2.303 
  11.421      0.475 
   9.591      0.063 
  17.271      2.167 
  15.092      1.346 
  17.830      2.427 
  17.462      2.200 
  14.789      1.224 
  13.996      1.040 
  16.245      1.754 
  13.954      1.008 
  15.278      1.378 
  13.454      0.903 
   8.902     -0.009 
  15.483      1.476 
  17.901      2.433 
  11.146      0.426 
  15.581      1.502 
  16.524      1.971 
   9.923      0.140 
  11.395      0.469 
  17.505      2.288 
  13.877      1.018 
  13.120      0.841 
  14.618      1.171 
  15.706      1.567 
  14.540      1.156 
  14.609      1.171 
  13.838      0.974 
  15.417      1.459 
  15.506      1.474 
  13.091      0.827 
  16.838      2.124 
  16.522      1.846 
  14.335      1.097 
  15.155      1.338 
  14.970      1.294 
  17.085      2.060 
  15.309      1.415 
  10.670      0.243 
  17.387      2.132 
  14.930      1.268 
  17.624      2.363 
  16.341      1.786 
  14.035      1.027 
  16.873      2.008 
  14.441      1.143 
  14.728      1.237 
  17.668      2.335 
  15.674      1.472 
  14.878      1.251 
  16.317      1.790 
  13.819      0.991 
  14.539      1.144 
  11.191      0.456 
   8.324     -0.002 
  16.070      1.722 
  12.040      0.641 
  15.170      1.353 
  16.379      1.782 
  13.778      0.962 
  16.204      1.725 
  17.442      2.291 
  10.024      0.125 
  17.869      2.344 
  17.378      2.169 
   9.181      0.036 
  12.050      0.658 
  14.096      1.042 
  13.409      0.895 
  13.906      1.010 
  17.393      2.198 
  16.995      2.096 
  14.958      1.278 
  15.063      1.321 
  15.864      1.596 
  15.967      1.699 
  16.973      2.044 
  14.720      1.226 
  17.187      2.274 
  12.089      0.665 
  12.983      0.814 
  14.524      1.164 
  14.359      1.089 
  15.665      1.534 
  17.766      2.739 
  12.340      0.696 
  12.782      0.789 
  13.609      0.934 
  17.994      2.420 
  12.582      0.743 
  17.089      2.095 
  16.021      1.660 
  16.793      1.964 
  15.230      1.382 
  17.186      2.125 
  12.645      0.798 
  16.378      1.803 
  15.504      1.487 
  15.639      1.536 
  14.787      1.264 
  17.608      2.344 
  17.422      2.217 
  16.010      1.659 
  11.276      0.473 
  15.826      1.591 
  15.648      1.553 
  14.572      1.204 
  14.466      1.145 
  14.742      1.201 
  17.916      2.381 
  17.531      2.296 
  14.454      1.123 
  17.970      2.414 
  11.772      0.582 
  17.338      2.154 
  15.971      1.620 
  15.038      1.317 
  11.758      0.615 
  15.813      1.702 
  16.864      1.828 
  13.046      0.836 
  17.312      2.215 
  17.089      2.061 
  15.405      1.429 
  16.389      1.682 
  17.040      2.078 
  17.300      1.924 
  16.867      2.030 
  13.773      0.996 
  17.638      2.234 
  14.777      1.220 
  16.067      1.681 
  16.389      1.842 
  12.473      0.760 
  13.197      0.854 
  11.383      0.559 
  12.792      0.784 
  13.759      0.963 
  15.598      1.512 
  15.393      1.451 
  11.180      0.442 
  12.976      0.794 
  12.928      0.825 
  16.814      1.971 
  12.707      0.811 
  15.505      1.425 
  14.322      1.097 
  16.674      1.938 
  10.904      0.354 
  17.137      2.214 
  12.527      0.729 
  15.918      1.624 
   9.509      0.040 
  10.327      0.158 
  14.513      1.174 
  10.633      0.270 
  17.080      2.115 
  16.704      1.915 
  16.016      1.654 
  14.687      1.249 
  17.255      2.150 
  17.271      2.178 
  15.668      1.558 
  16.674      1.913 
  15.108      1.335 
  15.657      1.597 
  15.728      1.546 
  16.070      1.710 
  17.456      2.217 
  12.240      0.683 
   8.250      0.021 
  14.322      1.122 
  14.306      1.099 
  17.719      2.301 
  12.382      0.722 
  14.763      1.231 
  16.448      1.838 
  15.238      1.373 
  17.608      2.306 
  10.944      0.339 
  17.111      2.044 
  14.259      1.091 
  13.825      0.998 
  16.058      1.665 
  14.573      1.179 
  15.898      1.603 
  13.586      0.936 
  14.990      1.278 
  14.524      1.200 
  17.951      2.442 
  14.140      1.095 
  14.955      1.320 
  14.716      1.208 
  13.006      0.860 
  12.972      0.848 
  15.961      1.731 
  10.517      0.227 
  15.994      1.722 
  15.280      1.390 
  15.934      1.627 
  11.695      0.583 
  10.282      0.137 
  13.918      1.021 
  14.705      1.210 
  14.905      1.260 
  14.701      1.251 
  12.612      0.763 
  15.480      1.457 
  12.639      0.786 
  10.289      0.163 
  16.130      1.712 
  13.256      0.866 
   8.993      0.004 
  11.428      0.482 
  14.412      1.148 
  15.489      1.500 
  17.337      2.187 
  12.714      0.788 
  14.718      1.217 
  15.438      1.496 
  10.312      0.155 
  12.870      0.798 
  17.056      2.085 
  13.509      0.934 
  13.871      1.006 
  10.450      0.254 
  13.008      0.826 
  17.558      2.253 
  10.671      0.272 
  10.462      0.189 
  15.561      1.510 
  10.170      0.132 
  17.020      2.174 
  11.867      0.614 
   9.308      0.077 
  17.973      2.439 
  15.914      1.614 
  17.859      2.277 
  10.019      0.138 
  15.235      1.375 
  13.744      1.021 
   8.872      0.034 
  17.073      2.090 
  12.454      0.723 
  13.067      0.870 
  16.666      1.942 
  16.101      1.699 
  11.739      0.599 
  15.511      1.454 
  16.206      1.727 
  16.856      1.954 
  14.040      0.939 
  17.728      2.306 
  10.604      0.218 
   9.313      0.069 
  10.828      0.308 
  11.436      0.483 
  16.152      1.732 
  15.581      1.514 
  15.987      1.718 
   8.517      0.001 
