       J        J-K 
  13.956      0.350 
  14.178      0.381 
   7.466      1.066 
  14.544      0.555 
  13.871      0.396 
  15.036      0.346 
  15.759      0.529 
  15.456      0.467 
  15.681      0.687 
  13.508      0.544 
  14.685      0.357 
  14.559      0.367 
  14.156      0.589 
  13.698      0.361 
  13.648      0.449 
  15.913      0.807 
  14.282      0.359 
  13.519      0.482 
  10.557      0.714 
  14.691      0.402 
  15.266      0.583 
  15.408      0.533 
  15.674      0.630 
  14.614      0.437 
  15.340      0.539 
  15.752      0.668 
  13.548      0.478 
  15.836      0.596 
  15.777      0.497 
  15.890      0.751 
  11.537      0.700 
  10.429      0.701 
  12.333      0.623 
  16.160      0.817 
  15.092      0.479 
  13.685      0.313 
  15.782      0.511 
  16.004      0.693 
  14.261      0.417 
  15.660      0.678 
  14.752      0.409 
  14.656      0.465 
  16.023      0.744 
  14.157      0.333 
  15.380      0.452 
  15.174      0.412 
   8.889      0.980 
  14.076      0.355 
  14.386      0.368 
  14.113      0.405 
  13.531      0.464 
  14.596      0.370 
  14.106      0.367 
  15.515      0.537 
  14.710      0.406 
  15.035      0.408 
  15.814      0.663 
  15.074      0.493 
  15.540      0.568 
  15.091      0.561 
  16.004      0.720 
  14.712      0.426 
  14.360      0.358 
  16.109      0.597 
  12.774      0.607 
  14.578      0.339 
  14.838      0.479 
  14.317      0.478 
  15.672      0.726 
  14.414      0.363 
  14.659      0.480 
  15.015      0.458 
  13.895      0.401 
  15.434      0.417 
  15.000      0.569 
  15.043      0.396 
  14.757      0.348 
  13.331      0.288 
  14.929      0.421 
  15.290      0.404 
  14.218      0.401 
  15.338      0.458 
  15.761      0.592 
  10.452      0.800 
  15.108      0.501 
  14.843      0.354 
  14.058      0.379 
  15.002      0.564 
  14.247      0.429 
  13.952      0.407 
  14.959      0.367 
  12.304      0.666 
  15.090      0.416 
  10.377      0.701 
  15.215      0.546 
  10.284      0.579 
  14.678      0.413 
  13.491      0.385 
  13.889      0.477 
  14.099      0.437 
  15.573      0.765 
  15.680      0.485 
  13.812      0.471 
  14.756      0.393 
  15.235      0.582 
  14.096      0.425 
  15.089      0.529 
  15.083      0.443 
  15.784      0.704 
  13.722      0.398 
  13.691      0.524 
  13.622      0.387 
  14.265      0.517 
  13.710      0.302 
  14.868      0.414 
  13.384      0.542 
  13.333      0.552 
  13.866      0.426 
  13.533      0.432 
  14.569      0.368 
  14.550      0.328 
  13.866      0.426 
  12.316      0.315 
  14.999      0.584 
  13.355      0.392 
  15.053      0.597 
  16.045      0.899 
  14.825      0.545 
  13.630      0.383 
  14.899      0.546 
  14.598      0.424 
  14.475      0.415 
  14.180      0.378 
  14.575      0.321 
  15.964      0.586 
  13.967      0.308 
  13.349      0.298 
  15.141      0.437 
  14.261      0.304 
  13.668      0.365 
  15.204      0.520 
  10.921      0.701 
  14.777      0.426 
  13.985      0.374 
  14.015      0.381 
  15.227      0.449 
  15.129      0.646 
  14.260      0.417 
  13.583      0.338 
  13.732      0.417 
  15.077      0.418 
  15.075      0.422 
  15.858      0.648 
  13.662      0.414 
  13.857      0.303 
  14.927      0.589 
  13.968      0.369 
  14.510      0.342 
  15.452      0.554 
  13.757      0.314 
  16.124      0.541 
  16.215      0.918 
  15.031      0.375 
  14.406      0.394 
  15.156      0.411 
  13.752      0.385 
  14.146      0.341 
  14.348      0.510 
  14.833      0.435 
  13.361      0.337 
  13.064      0.286 
  13.907      0.360 
  15.844      0.702 
  14.529      0.296 
  14.233      0.424 
  14.793      0.440 
  15.481      0.598 
  15.082      0.544 
  14.279      0.377 
  13.539      0.655 
  14.730      0.612 
  14.001      0.409 
  13.660      0.425 
  14.890      0.390 
  15.631      0.849 
  13.730      0.299 
  14.855      0.459 
  14.178      0.424 
  15.870      0.693 
  12.851      0.572 
  15.717      0.521 
  13.821      0.386 
  15.498      0.704 
  14.606      0.395 
  16.353      0.830 
  12.524      0.648 
  12.558      0.635 
