       V        B-V 
  17.537      0.926 
  18.409      0.874 
  18.173      0.809 
  17.255      1.209 
  19.223      0.975 
  17.315      1.167 
  19.324      1.101 
  19.382      1.073 
  19.210      0.958 
  18.777      1.014 
  19.160      0.982 
  18.619      0.987 
  14.617      1.311 
  17.456      0.869 
  17.772      0.761 
  15.714      1.273 
  18.127      0.913 
  19.930      1.093 
  18.803      0.825 
  19.905      0.995 
  17.508      1.072 
  15.559      1.286 
  17.846      0.806 
  19.006      0.924 
  13.936      1.556 
  18.919      0.923 
  19.571      1.107 
  15.703      1.244 
  17.547      1.034 
  17.441      0.860 
  18.336      0.944 
  18.238      0.938 
  18.744      0.950 
  19.463      1.173 
  18.359      0.956 
  18.063      0.912 
  17.787      0.819 
  19.298      1.009 
  19.272      1.080 
  18.608      0.893 
  18.334      0.866 
  17.788      0.818 
  18.745      1.006 
  19.032      0.862 
  19.196      0.912 
  16.084      1.244 
  19.017      0.939 
  19.447      1.018 
  17.374      0.862 
  15.860      1.245 
  19.814      1.025 
  18.337      0.879 
  18.184      0.761 
  17.860      0.856 
  19.040      1.093 
  18.780      0.866 
  19.628      1.134 
  19.229      1.020 
  19.197      1.089 
  18.290      0.874 
  18.716      1.054 
  18.890      0.842 
  17.628      0.856 
  18.827      0.917 
  19.224      1.115 
  17.595      0.766 
  17.531      0.898 
  18.300      0.853 
  16.090      1.232 
  18.026      0.924 
  19.150      0.934 
  14.725      1.350 
  18.038      0.887 
  19.165      1.037 
  18.181      0.901 
  19.212      0.983 
  19.659      1.139 
  18.308      0.920 
  18.497      0.864 
  18.634      0.953 
  19.033      1.111 
  19.103      1.014 
  18.032      0.914 
  19.400      0.975 
  19.286      1.066 
  19.583      0.986 
  17.872      0.860 
  19.555      0.951 
  18.946      0.943 
  18.456      0.911 
  19.039      1.003 
  18.083      0.860 
  18.394      0.990 
  18.688      0.882 
  17.620      0.838 
  19.427      1.082 
  17.529      0.878 
  17.956      0.894 
  17.387      0.888 
  18.843      0.920 
  17.557      0.824 
  19.307      1.149 
  17.261      1.201 
  17.988      0.838 
  17.916      0.832 
  17.422      0.894 
  19.368      1.027 
  17.404      1.162 
  19.541      1.182 
  18.473      0.910 
  18.739      0.961 
  18.010      0.802 
  19.235      1.093 
  18.817      0.970 
  18.687      0.934 
  17.788      0.847 
  19.970      1.052 
  16.835      1.171 
  18.018      0.837 
  17.472      0.860 
  18.272      0.897 
  19.511      1.063 
  18.463      0.945 
  17.580      0.875 
  18.330      0.885 
  19.483      1.056 
  17.453      1.093 
  18.685      0.925 
  18.257      0.854 
