              Clust  GLAT[deg]   Plx[mas]  dmode[pc]   E(B-V)
             IC4665     17.055      2.868      345.2    0.171
          Melotte20     -6.404      5.668      175.5    0.090 
          Melotte22    -23.614      7.346      135.6    0.021 
            NGC1039    -15.646      1.949      505.5    0.100 
             NGC188     22.373      0.507     1864.3    0.085 
            NGC1960      1.075      0.835     1156.9    0.250 
            NGC2516    -15.873      2.417      408.9    0.145 
            NGC2632     32.428      5.361      185.5    0.010
            NGC6649     -0.780      0.467     2016.9    1.332 
            NGC6791     10.906      0.192     4530.8    0.117 
